,,,Evaluation Methodologies,User Study,,,,,Real Life Testing,,Subject of Evaluation,Performance,UserCentric Effects,Effects on Learning
Title,Authors,Year,Values,Questionnaire,Expert´s Opinion,Interview,Observation,Tests,No. of Tests Days,No. of Participants,Values,Values,Values,Values
Large-scale e-learning recommender system based on Spark and Hadoop,"Dahdouh K., Dakkak A., Oughdir L., Ibriz A.",2019,1,,,,,,,,2,"1, 2",,
Elo-rating method: Towards adaptive assessment in e-learning,"Mangaroska K., Vesin B., Giannakos M.",2019,3,,,,,,180,67,1,1,,
"Recommender system for learning objects based in the fusion of social signals, interests, and preferences of learner users in ubiquitous e-learning systems","da S. Dias A., Wives L.K.",2019,"2, 3",Não,Não,Não,Sim,Sim,10,40,"1, 2",1,,
A Novel Algorithm for Course Learning Object Recommendation Based on Student Learning Styles,"Nafea S.M., Siewe F., He Y.",2019,3,,,,,,720,30,1,1,1,
Towards Personalized Learning Through Class Contextual Factors-Based Exercise Recommendation,"Huo Y., Xiao J., Ni L.M.",2019,1,,,,,,,,1,1,,
Neural Educational Recommendation Engine (NERE),"Nadeem M., Stansbury D., Mooney S.",2019,1,,,,,,,,1,1,,
IoT-based personalized NIE content recommendation system,"Kim Y., Jung S., Ji S., Hwang E., Rho S.",2019,1,,,,,,,,1,1,,
Elective learning objects group recommendation using non-cooperative game theory,"Zia A., Usman M.",2019,1,,,,,,,,1,1,,
Towards Smart Educational Recommendations with Reinforcement Learning in Classroom,"Liu S., Chen Y., Huang H., Xiao L., Hei X.",2019,2,Não,Não,Não,Sim,Não,,,1,1,,"1, 2"
An efficient personalized trust based hybrid recommendation (TBHR) strategy for e-learning system in cloud computing,"Bhaskaran S., Santhi B.",2019,1,,,,,,,,1,"1, 2",,
Integrating context-awareness and multi-criteria decision making in educational learning,"Zheng Y., Shekhar S., Jose A.A., Rai S.K.",2019,1,,,,,,,,1,1,,
Finding relevant e-learning materials,Mbipom B.,2019,3,,,,,,60,44,1,1,,
Learner level and preference prediction of e-learners for e-learning recommender systems,"Deenadayalan D., Kangaiammal A., Poornima B.K.",2019,1,,,,,,,,2,1,,
SARLR: Self-adaptive recommendation of learning resources,"Liu L., Wu W., Huang J.",2019,1,,,,,,,,1,1,,
"Decision Making for E-learners based on Learning Style, Personality, and Knowledge Level","Goyal M., Yadav D., Sood M.",2018,2,Sim,Não,Não,Não,Não,,,1,1,,
